name,location,given_by,dialogue,requirements,objectives,rewards,previous,leads_to
TerraGroup Employee,The Lab,Peacekeeper,,Must be level 23 to start this quest.,Find Sanitar's workplace in the Lab | Obtain information about Sanitar's work | Hand over the Flash drive marked with blue tape to Peacekeeper,"+17,000 EXP | Peacekeeper Rep +0.04 | 5,000 Dollars 5,250 Dollars with Intelligence Center Level 1 5,750 Dollars with Intelligence Center Level 2 | 4× Desert Tech MDR 7.62x51 assault rifle | 3× AR-10 7.62x51 Magpul PMAG 20 SR-LR GEN M3 20-round magazine | 4× 7.62x51mm M80 ammo pack (20 pcs) | Unlocks purchase of Mesa Tactical Crosshair Hydraulic buffer tube at Peacekeeper LL4",Samples | The Huntsman Path - Sadist | Colleagues - Part 3,
Revision - Reserve,Reserve,Peacekeeper,,Must be level 14 to start this quest.,"Locate and inspect the first BMP-2 on Reserve | Mark the first BMP-2 with an MS2000 Marker | Locate and inspect the second BMP-2 on Reserve | Mark the second BMP-2 with an MS2000 Marker | Locate and inspect the third BMP-2 on Reserve | Mark the third BMP-2 with an MS2000 Marker | Locate and inspect the fourth BMP-2 on Reserve | Mark the fourth BMP-2 with an MS2000 Marker | Locate and inspect the first LAV III on Reserve | Mark the first LAV III with an MS2000 Marker | Locate and inspect the second LAV III on Reserve | Locate and inspect the T-90 tank on Reserve | Note: The ""Mark"" objectives will appear after the respective ""Locate and inspect"" objectives are completed.","+7,300 EXP | Peacekeeper Rep +0.03 | 800 Dollars 840 Dollars with Intelligence Center Level 1 920 Dollars with Intelligence Center Level 2 | 15× 5.56x45mm Warmageddon ammo pack (20 pcs)",Humanitarian Supplies,Classified Technologies | Revision - Lighthouse | Revision - Streets of Tarkov
Revision - Lighthouse,Lighthouse,Peacekeeper,,,Locate and mark the first BRDM with an MS2000 Marker | Locate and mark the second BRDM with an MS2000 Marker | Locate and mark the first Stryker with an MS2000 Marker | Locate and mark the second Stryker with an MS2000 Marker,"+7,800 EXP | Peacekeeper Rep +0.03 | 850 Dollars 893 Dollars with Intelligence center Level 1 978 Dollars with Intelligence center Level 2 | Unlocks purchase of FN Five-seveN MK2 5.7x28 pistol (FDE) at Peacekeeper LL2 | Unlocks purchase of 7.62x51mm M80 at Peacekeeper LL4",Revision - Reserve,
The Cleaner,Reserve,Peacekeeper,,Must be level 45 to start this quest.,Eliminate 40 Scav Raiders on Reserve,"+84,000 EXP | +1 DMRs skill level | +2 Submachine Guns skill level | +2 Assault Rifles skill level | 3,000 Euros 3,150 Euros with Intelligence Center Level 1 3,450 Euros with Intelligence Center Level 2 | Unlocks craft for .300 Blackout AP at Workbench level 3",The Guide,
Classified Technologies,Reserve,Peacekeeper,,Must be level 14 to start this quest.,Obtain the package with T-90M Commander control panel on Reserve | Hand over the package to Peacekeeper,"+7,200 EXP | Peacekeeper Rep +0.02 | 800 Dollars 840 Dollars with Intelligence Center Level 1 920 Dollars with Intelligence Center Level 2 | 2× 5.7x28mm R37.F ammo pack (50 pcs) | 2× 5.7x28mm R37.X ammo pack (50 pcs)",Revision - Reserve,
Special Equipment,,Peacekeeper,,Must be level 60 to start this quest.,Find 5 VPX Flash Storage Modules in raid | Find 5 UHF RFID Readers in raid | Find 5 Virtex programmable processors in raid | Find 5 Military COFDM Wireless Signal Transmitters in raid | Find 4 Military flash drives in raid | Handover 5 VPX Flash Storage Modules to Peacekeeper | Handover 5 UHF RFID Readers to Peacekeeper | Handover 5 Virtex programmable processors to Peacekeeper | Handover 5 Military COFDM Wireless Signal Transmitters to Peacekeeper | Handover 4 Military flash drives,"+177,000 EXP | 1× Weapon case | 7× TerraGroup Labs access keycard | 4× Iridium military thermal vision module | Unlocks barter for T H I C C item case at Peacekeeper LL4",Trophies,
Cargo X - Part 4,Lighthouse,Peacekeeper,,,Locate and mark the TerraGroup cargo with an MS2000 Marker on Lighthouse,"+8,600 EXP | Peacekeeper Rep +0.02 | 800 Dollars 840 Dollars with Intelligence center Level 1 920 Dollars with Intelligence center Level 2 | Unlocks purchase of Ops-Core FAST MT Super High Cut helmet (Urban Tan) at Peacekeeper LL4 | Unlocks purchase of AR-15 Magpul ACS Carbine stock (Black) at Peacekeeper LL4 | Unlocks purchase of AR-15 Magpul ACS Carbine stock (FDE) at Peacekeeper LL4",Cargo X - Part 3,Your Car Needs a Service | Insomnia | Setting Priorities
Insomnia,,Peacekeeper,,,Eliminate 25 PMC operatives in the time period of 21:00-06:00 (Excluding Factory and The Lab ),"+18,200 EXP | Peacekeeper Rep +0.01 | 1,000 Dollars 1,050 Dollars with Intelligence Center Level 1 1,150 Dollars with Intelligence Center Level 2 | 2× L3Harris GPNVG-18 night vision goggles | 1× Ops-Core FAST MT Super High Cut helmet (Black) | 2× Ops-Core FAST multi-hit ballistic face shield | Unlocks barter for SAPI level III+ ballistic plate at Peacekeeper LL4",Cargo X - Part 4,
Counteraction,Lighthouse,Peacekeeper,,This quest is only obtainable by USEC PMCs. | Must be level 30 to start this quest.,Eliminate 20 BEAR PMC operatives on Lighthouse | Hand over 20 found in raid BEAR PMC dogtags,"+22,000 EXP | Peacekeeper Rep +0.03 | 2,300 Dollars 2,415 Dollars with Intelligence center Level 1 2,645 Dollars with Intelligence center Level 2 | 1× SSD drive | 1× Intelligence folder | 1× Topographic survey maps | Unlocks purchase of 23x75mm Zvezda flashbang round at Skier LL4",Spa Tour - Part 3,
Overpopulation,Lighthouse,Peacekeeper,,Must be level 15 to start this quest.,Eliminate 12 Scavs around the chalet area on Lighthouse,"+8,500 EXP | Peacekeeper Rep +0.02 | 1,100 Dollars 1,155 Dollars with Intelligence center Level 1 1,265 Dollars with Intelligence center Level 2 | Unlocks barter for DS Arms SA58 7.62x51 assault rifle (variant AUT) at Peacekeeper LL2",Spa Tour - Part 1,One Less Loose End | A Healthy Alternative
Trophies,Any,Peacekeeper,,Must be level 55 to start this quest.,Find in raid and hand over 20 BEAR PMC dogtags of level 50+ to Peacekeeper | Find in raid and hand over 20 USEC PMC dogtags of level 50+ to Peacekeeper,"+137,000 EXP | 4× Ammunition case | 1× Armband (UNTAR) | 1× FN40GL Mk2 40mm grenade launcher | 10× 40x46mm M433 (HEDP) grenade",The Huntsman Path - Forest Cleaning,Special Equipment
Revision - Streets of Tarkov,Streets of Tarkov,Peacekeeper,,Must be level 17 to start this quest.,Locate and mark the first LAV III with an MS2000 Marker on Streets of Tarkov | Locate and mark the Stryker with an MS2000 Marker on Streets of Tarkov | Locate and mark the second LAV III with an MS2000 Marker on Streets of Tarkov | Survive and extract from the location,"+8,600 EXP | Peacekeeper Rep +0.02 | 450 Dollars 472 Dollars with Intelligence Center Level 1 518 Dollars with Intelligence Center Level 2 | Unlocks purchase of FN SCAR-L 5.56x45 assault rifle (FDE) (variant CQC) at Peacekeeper LL2 | Unlocks purchase of Galvion Caiman Hybrid helmet (Grey) at Peacekeeper LL2",Revision - Reserve,"Worst Job in the World | New Day, New Paths"
Road Closed,Streets of Tarkov,Peacekeeper,,This quest is only obtainable by USEC PMCs. | Must be level 20 to start this quest.,Locate the cargo convoy on Streets of Tarkov | Determine the ambush spot | Survive and extract from the location,"+10,500 EXP | Peacekeeper Rep +0.02 | 62,300 Roubles 65,415 Roubles with Intelligence Center Level 1 71,645 Roubles with Intelligence Center Level 2 | 1× HK MP7A1 4.6x30 submachine gun | 3× HK MP7 4.6x30 20-round magazine | 2× 4.6x30mm Action SX ammo pack (40 pcs)",Spa Tour - Part 7,
Worst Job in the World,,Peacekeeper,,Must be level 25 to start this quest.,Eliminate any 30 enemies from over 100 meters away while using AR-15 platform weapons,"+15,400 EXP | Peacekeeper Rep +0.03 | Unlocks barter for M203 40mm underbarrel grenade launcher at Peacekeeper LL3 | Unlocks purchase of 40x46mm M386 (HE) grenade at Peacekeeper LL3",Revision - Streets of Tarkov | Wet Job - Part 5,
Your Car Needs a Service,Streets of Tarkov,Peacekeeper,,Must be level 35 to start this quest.,Obtain the digital storage device from the car dealership manager's office on Streets of Tarkov | Hand over the digital storage device,"+31,400 EXP | Peacekeeper Rep +0.03 | 1,000 Dollars 1,050 Dollars with Intelligence Center Level 1 1,150 Dollars with Intelligence Center Level 2 | Unlocks craft for 5.56x45mm M855A1 at Workbench level 3",Cargo X - Part 4,
One Less Loose End,"Factory , Woods",Peacekeeper,,,Locate and obtain the lab journal on Factory | Stash the journal at the old sawmill on Woods,"+15,000 EXP | Peacekeeper Rep +0.03 | 1,200 Dollars 1,260 Dollars with Intelligence Center Level 1 1,380 Dollars with Intelligence Center Level 2 | 1× Magnum Research Desert Eagle Mk XIX .50 AE pistol | 3× Desert Eagle .50 AE 7-round magazine | 28× .50 AE Copper Solid",Overpopulation,Dragnet
"New Day, New Paths","Ground Zero , Streets of Tarkov",Peacekeeper,,,Scout the intersection of Mira Ave and the overpass on Ground Zero (In one raid) | Locate the passage leading to Streets of Tarkov on Ground Zero (In one raid) | Use the transit from Ground Zero to Streets of Tarkov (In one raid),"+11,800 EXP | Peacekeeper Rep +0.02 | 900 Dollars 945 Dollars with Intelligence Center Level 1 1,035 Dollars with Intelligence Center Level 2 | 1× Secure Flash drive | 1× SAS drive | 1× SSD drive",Revision - Streets of Tarkov,
Seizing the Initiative,"Customs , Shoreline",Peacekeeper,,,Use the transit from Customs to Shoreline | Survive and extract from Shoreline,"+6,300 EXP | Peacekeeper Rep +0.01 | 600 Dollars 630 Dollars with Intelligence Center Level 1 690 Dollars with Intelligence Center Level 2 | 1× Galvion Caiman Hybrid helmet (Grey)",Humanitarian Supplies,
Confidential Info,The Labyrinth,Peacekeeper,,,Locate and obtain the special storage module inside The Labyrinth | Plant a hand grenade in the assembly workshop inside Labyrinth | Hand over the found information,"+17,600 EXP | Peacekepper Rep +0.03 | 1,600 Dollars 1,680 Dollars with Intelligence Center Level 1 1,840 Dollars with Intelligence Center Level 2 | 1× VPX Flash Storage Module | 2× SSD drive | 2× SAS drive | 1× Final Moment poster",Offensive Reconnaissance,
Saving the Mole,Ground Zero,Mechanic,,,Access the lab scientist's office on Ground Zero ( Optional ) Locate the USEC group at the parking lot of the TerraGroup complex ( Optional ) Locate the lab scientist in the TerraGroup complex | Locate and obtain the scientist's hard drive | Hand over the hard drive,"+3,800 EXP | Mechanic Rep +0.01 | 15,000 Roubles 15,750 Roubles with Intelligence Center Level 1 17,250 Roubles with Intelligence Center Level 2 | 2× Tube of Poxeram cold welding | 2× Metal spare parts",,Gunsmith - Part 1 | A Helping Hand | Shady Contractor
Gunsmith - Part 1,,Mechanic,,Must be level 2 to start this quest.,Modify an MP-133 to comply with the given specifications,"+800 EXP | Mechanic Rep +0.01 | 10,000 Roubles 10,500 Roubles with Intelligence Center Level 1 11,500 Roubles with Intelligence Center Level 2 | 1× Screw nuts | 1× Bolts | 1× 12/70 makeshift .50 BMG slug ammo pack (25 pcs) | Unlocks purchase of AR-15 Windham Weaponry Rail Gas Block at Mechanic LL1",Saving the Mole,Gunsmith - Part 2 | Gunsmith - Part 3 | Farming - Part 1 | Introduction
Gunsmith - Part 2,,Mechanic,,Must be level 5 to start this quest.,Modify an AKS-74U to comply with the given specifications,"+2,000 EXP | Mechanic Rep +0.01 | 15,000 Roubles 15,750 Roubles with Intelligence Center Level 1 17,250 Roubles with Intelligence Center Level 2 | 2× Capacitors | 2× Bundle of wires | 2× Light bulb | Unlocks purchase of AK 100-series polymer handguard at Prapor LL1",Gunsmith - Part 1,Gunsmith - Part 4 | Signal - Part 1
Gunsmith - Part 3,,Mechanic,,Must be level 7 to start this quest.,Modify an MP5 to comply with the given specifications,"+2,800 EXP | Mechanic Rep +0.01 | 250 Dollars 263 Dollars with Intelligence Center Level 1 288 Dollars with Intelligence Center Level 2 | 2× SwampFox Trihawk Prism Scope 3x30 | 2× Magpul RVG foregrip (FDE) | Unlocks barter for Glock 17 9x19 pistol (variant Tac 3) at Mechanic LL1",Gunsmith - Part 1,Gunsmith - Part 4 | Insider
Gunsmith - Part 4,,Mechanic,,Must be level 9 to start this quest.,Modify an OP-SKS to comply with the given specifications,"+3,600 EXP | Mechanic Rep +0.01 | 25,000 Roubles 26,250 Roubles with Intelligence Center Level 1 28,750 Roubles with Intelligence Center Level 2 | 2× Gunpowder ""Kite"" | 1× Car battery | 1× Electric motor | Unlocks purchase of PP-19-01 Vityaz 9x19 submachine gun (variant Zenit) at Ref LL1",Gunsmith - Part 2 | Gunsmith - Part 3,Gunsmith - Part 5
Gunsmith - Part 5,,Mechanic,,Must be level 10 to start this quest.,Modify a Remington Model 870 to comply with the given specifications,"+4,100 EXP | Mechanic Rep +0.01 | 300 Dollars 315 Dollars with Intelligence Center Level 1 345 Dollars Intelligence Center Level 2 | 3× Weapon parts | Unlocks barter for Ammunition case at Mechanic LL1",Gunsmith - Part 4,Gunsmith - Part 6
Gunsmith - Part 6,,Mechanic,,Must be level 14 to start this quest. | Unlocks 21 hours after completion of Gunsmith - Part 5,Modify an AKM to comply with the given specifications,"+5,800 EXP | Mechanic Rep +0.01 | 50,000 Roubles 52,500 Roubles with Intelligence Center Level 1 57,500 Roubles with Intelligence Center Level 2 | 2× Pack of screws | 2× Phase control relay | 3× 7.62x39mm BP gzh ammo pack (20 pcs) | Unlocks purchase of AK GP-25 accessory kit recoil pad at Prapor LL2",Gunsmith - Part 5,Gunsmith - Part 7
Gunsmith - Part 7,,Mechanic,,Must be level 15 to start this quest.,Modify an M4A1 to comply with the given specifications,"+6,300 EXP | Mechanic Rep +0.01 | 500 Dollars 525 Dollars with Intelligence Center Level 1 575 Dollars with Intelligence Center Level 2 | 1× Pliers Elite | 1× Electric drill | Unlocks purchase of AR-15 Daniel Defense MK12 Low Profile Gas Block at Mechanic LL2",Gunsmith - Part 6,Gunsmith - Part 8 | Gunsmith - Old Friend's Request
Gunsmith - Part 8,,Mechanic,,Must be level 17 to start this quest.,Modify an AKS-74N to comply with the given specifications,"+8,600 EXP | Mechanic Rep +0.02 | 75,000 Roubles 78,750 Roubles with Intelligence Center Level 1 86,250 Roubles with Intelligence Center Level 2 | 2× AKS-74U CAA XRSU47SU tactical handguard | 2× AK-74 thread type JMac Customs RRD-4C multi-caliber muzzle brake | 2× 5.45x39mm BS gs ammo pack (30 pcs)",Gunsmith - Part 7,Gunsmith - Part 9
Gunsmith - Part 9,,Mechanic,,Must be level 19 to start this quest. | Unlocks 21 hours after completion of Gunsmith - Part 8,Modify a P226R to comply with the given specifications,"+9,800 EXP | Mechanic Rep +0.02 | 300 Euros 315 Euros with Intelligence Center Level 1 345 Euros Intelligence Center Level 2 | 2× Gunpowder ""Hawk"" | Unlocks purchase of Colt M4A1 5.56x45 assault rifle (variant SOPMOD I) at Mechanic LL3 | Unlocks purchase of 5.7x28mm R37.F at Mechanic LL3",Gunsmith - Part 8,Gunsmith - Part 10
Gunsmith - Part 10,,Mechanic,,Must be level 20 to start this quest.,Modify an AK-105 to comply with the given specifications,"+10,400 EXP | Mechanic Rep +0.02 | 5× Bundle of wires | 2× Metal spare parts | Unlocks purchase of Ammunition case at Mechanic LL2",Gunsmith - Part 9,Gunsmith - Part 11
Gunsmith - Part 11,,Mechanic,,Must be level 22 to start this quest.,Modify a KRISS Vector 9x19 to comply with the given specifications,"+11,600 EXP | Mechanic Rep +0.02 | 500 Dollars 525 Dollars with Intelligence Center Level 1 575 Dollars with Intelligence Center Level 2 | 1× SureFire SOCOM556-MINI MONSTER 5.56x45 sound suppressor | Unlocks purchase of Colt M4A1 5.56x45 assault rifle (variant SAI ) at Ref LL2",Gunsmith - Part 10,Gunsmith - Part 12
Gunsmith - Part 12,,Mechanic,,Must be level 23 to start this quest.,Modify a SIG MPX to comply with the given specifications,"+12,300 EXP | Mechanic Rep +0.02 | 500 Dollars 525 Dollars with Intelligence Center Level 1 575 Dollars with Intelligence Center Level 2 | 2× AR-15 Vendetta Precision VP-09 Interceptor 5.56x45 muzzle brake | 1× FN P90 Attenuator 5.7x28 sound suppressor | 1× AR-15 5.56x45 SureFire MAG5-100 STANAG 100-round magazine",Gunsmith - Part 11,Gunsmith - Part 13
Gunsmith - Part 13,,Mechanic,,Must be level 25 to start this quest.,Modify an R11 RSASS to comply with the given specifications,"+13,600 EXP | Mechanic Rep +0.02 | 500 Dollars 525 Dollars with Intelligence Center Level 1 575 Dollars with Intelligence Center Level 2 | 2× Corrugated hose | 2× Pack of nails | Unlocks barter for KAC PRS/QDC 7.62x51 sound suppressor at Peacekeeper LL3",Gunsmith - Part 12,Gunsmith - Part 14
Gunsmith - Part 14,,Mechanic,,Must be level 27 to start this quest. | Unlocks 21 hours after completion of Gunsmith - Part 13,Modify an HK 416A5 to comply with the given specifications,"+14,900 EXP | Mechanic Rep +0.02 | 500 Dollars 525 Dollars with Intelligence Center Level 1 575 Dollars with Intelligence Center Level 2 | 1× Torrey Pines Logic T12W 30Hz thermal reflex sight | 3× Gunpowder ""Eagle"" | Unlocks purchase of AR-15 Magpul PRS GEN3 stock (Black) at Peacekeeper LL3",Gunsmith - Part 13,Gunsmith - Part 15
Gunsmith - Part 15,,Mechanic,,Must be level 29 to start this quest.,Modify an AS VAL to comply with the given specifications,"+19,400 EXP | Mechanic Rep +0.02 | 1× Kiba Arms inner grate door key | 1× Pressure gauge | Unlocks purchase of VSS/VAL TOZ 6P29M mount at Jaeger LL3",Gunsmith - Part 14,Gunsmith - Part 16 | Goals and Means
Gunsmith - Part 16,,Mechanic,,Must be level 30 to start this quest.,Modify a DVL-10 to comply with the given specifications,"+20,400 EXP | Mechanic Rep +0.03 | 200,000 Roubles 210,000 Roubles with Intelligence Center Level 1 230,000 Roubles with Intelligence Center Level 2 | 2× Pack of screws | 1× Electric drill | 1× Metal fuel tank | Unlocks purchase of Lone Star TX-15 DML 5.56x45 carbine at Skier LL3",Gunsmith - Part 15,Gunsmith - Part 17
Gunsmith - Part 17,,Mechanic,,Must be level 31 to start this quest.,Modify an AK-102 to comply with the given specifications,"+21,400 EXP | Mechanic Rep +0.03 | 35,000 Roubles 36,750 Roubles with Intelligence Center Level 1 40,250 Roubles with Intelligence Center Level 2 | 4× Spark plug | 2× GreenBat lithium battery | Unlocks purchase of Magpul AFG tactical foregrip (Olive Drab) at Mechanic LL3 | Unlocks purchase of AR-15 Hera Arms CQR pistol grip/buttstock at Mechanic LL4 | Unlocks purchase of AK CNC Warrior 5.56x45 muzzle device adapter at Mechanic LL3 | Unlocks purchase of AKM/AK-74 Hera Arms CQR47 pistol grip/buttstock at Mechanic LL4",Gunsmith - Part 16,Gunsmith - Part 18
Gunsmith - Part 18,,Mechanic,,Must be level 33 to start this quest.,Modify an AKMN to comply with the given specifications,"+23,100 EXP | Mechanic Rep +0.03 | 50,000 Roubles 52,500 Roubles with Intelligence Center Level 1 57,500 Roubles with Intelligence Center Level 2 | 1× EOTech Vudu 1-6x24 30mm riflescope | 1× AK-74 Hexagon Wafflemaker 5.45x39 sound suppressor | 1× AK Hexagon Reactor 5.45x39 muzzle brake | Unlocks purchase of Steiner LAS/TAC 2 tactical flashlight at Mechanic LL3 | Unlocks purchase of AKM 7.62x39 Kiba Arms .308 muzzle device adapter at Mechanic LL3",Gunsmith - Part 17,Gunsmith - Part 19
Gunsmith - Part 19,,Mechanic,,Must be level 36 to start this quest. | Unlocks 21 hours after completion of Gunsmith - Part 18,Modify an SVDS to comply with the given specifications,"+25,500 EXP | Mechanic Rep +0.03 | 75,000 Roubles 78,750 Roubles with Intelligence Center Level 1 86,250 Roubles with Intelligence Center Level 2 | 1× Ratchet wrench | 1× Bulbex cable cutter | Unlocks purchase of AK Custom Arms AGS-74 PRO + Sniper Kit pistol grip at Skier LL4",Gunsmith - Part 18,Gunsmith - Part 20
Gunsmith - Part 20,,Mechanic,,Must be level 37 to start this quest.,Modify an M1A to comply with the given specifications,"+26,600 EXP | Mechanic Rep +0.03 | 500 Euros 525 Euros with Intelligence Center Level 1 575 Euros with Intelligence Center Level 2 | 1× AR-15 Hera Arms CQR pistol grip/buttstock | 1× Hera Arms CQR tactical foregrip | Unlocks purchase of AR-10 KAC QDC 7.62x51 Muzzle Brake Kit at Mechanic LL3 | Unlocks purchase of Magpul MOE Carbine rubber buttpad at Peacekeeper LL4",Gunsmith - Part 19,Gunsmith - Part 21
Gunsmith - Part 21,,Mechanic,,Must be level 38 to start this quest.,Modify an M700 to comply with the given specifications | Modify an M1911 to comply with the given specifications,"+27,700 EXP | Mechanic Rep +0.03 | 1× Pistol case | 3× 7.62x51mm M993 ammo pack (20 pcs) | Unlocks purchase of AR-15 HK Ergo PSG-1 style pistol grip at Mechanic LL4 | Unlocks purchase of AR-15 Strike Industries Advanced Receiver Extension (Black) at Mechanic LL4",Gunsmith - Part 20,Gunsmith - Part 22
Gunsmith - Part 22,,Mechanic,,Must be level 39 to start this quest. | Unlocks 21 hours after completion of Gunsmith - Part 21,Modify an M4A1 to comply with the given specifications,"+28,900 EXP | Mechanic Rep +0.03 | 1,000 Euros 1,050 Euros with Intelligence Center Level 1 1,150 Euros with Intelligence Center Level 2 | 1× Magazine case | 2× FLIR RS-32 2.25-9x 35mm 60Hz thermal riflescope | Unlocks barter for Trijicon REAP-IR thermal scope at Mechanic LL4 | Unlocks purchase of SilencerCo Saker ASR 556 5.56x45 sound suppressor at Peacekeeper LL4 | Unlocks craft for Trijicon REAP-IR thermal scope at Workbench level 3",Gunsmith - Part 21,Gunsmith - Part 23
Gunsmith - Part 23,,Mechanic,,Unlocks 21-23 hours after completion of Gunsmith - Part 22,Modify a CMMG Mk47 Mutant to comply with the given specifications,"+29,500 EXP | Mechanic Rep +0.03 | 1,300 Euros 1,365 Euros with Intelligence Center Level 1 1,495 Euros with Intelligence Center Level 2 | 1× SIG Sauer ECHO1 1-2x30mm 30Hz thermal reflex scope | Unlocks purchase of Mk47 409mm barrel at Mechanic LL4",Gunsmith - Part 22,Gunsmith - Part 24
Gunsmith - Part 24,,Mechanic,,Unlocks 21-23 hours after completion of Gunsmith - Part 23,Modify a KAC SR-25 to comply with the given specifications,"+31,250 EXP | Mechanic Rep +0.03 | 1,500 Euros 1,575 Euros with Intelligence Center Level 1 1,725 Euros with Intelligence Center Level 2 | 3× Pipe grip wrench | 2× FP-100 filter absorber | Unlocks purchase of Stark SE-5 Express Forward foregrip at Mechanic LL4 | Unlocks purchase of Stark SE-5 Express Forward foregrip (FDE) at Mechanic LL4",Gunsmith - Part 23,Gunsmith - Part 25
Gunsmith - Part 25,,Mechanic,,Unlocks 21-23 hours after completion of Gunsmith - Part 24,Modify a PKP machine gun to comply with the given specifications,"+35,000 EXP | Mechanic Rep +0.04 | 5× Physical Bitcoin | 1× Weapon case | Unlocks barter for TerraGroup Labs keycard (Black) at Mechanic LL4 | Unlocks barter for Kalashnikov PKM 7.62x54R machine gun at Mechanic LL4 | Unlocks achievement Jack of All Trades",Gunsmith - Part 24,
Gunsmith - Old Friend's Request,,Mechanic,,Must be level 17 to start this quest.,Modify a PP-19-01 to comply with the given specifications | Modify a T-5000M to comply with the given specifications | Modify a Glock 17 to comply with the given specifications,"+21,930 EXP | Mechanic Rep +0.04 | 155,000 Roubles 162,750 Roubles with Intelligence center Level 1 178,250 Roubles with Intelligence center Level 2 | Unlocks purchase of Ballistic plate case at Mechanic LL2",Gunsmith - Part 7,
Farming - Part 1,Factory,Mechanic,,Must be level 12 to start this quest.,Fix the first control board with a Toolset on Factory | Fix the second control board with a Toolset on Factory,"+6,600 EXP | Mechanic Rep +0.02 | 25,000 Roubles 26,250 Roubles with Intelligence Center Level 1 28,750 Roubles with Intelligence Center Level 2 | 2× Light bulb | 2× Radiator helix",Gunsmith - Part 1,Farming - Part 2 | Capacity Check
Farming - Part 2,,Mechanic,,Must be level 12 to start this quest.,Find 2 Power cords in raid | Find 4 T-Shaped Plugs in raid | Find 2 Printed circuit boards in raid | Hand over 2 Power cords to Mechanic | Hand over 4 T-Shaped Plugs to Mechanic | Hand over 2 Printed circuit boards to Mechanic,"+5,500 EXP | Mechanic Rep +0.02 | 15,000 Roubles 15,750 Roubles with Intelligence Center Level 1 17,250 Roubles with Intelligence Center Level 2 | 1× ASh-12 12.7x55 assault rifle | 1× NIXXOR lens",Farming - Part 1,Farming - Part 3 | Bad Habit | Broadcast - Part 1 | Passion for Ergonomics
Farming - Part 3,Customs,Mechanic,,Must be level 14 to start this quest.,Locate the warehouse of seized goods on Customs | Obtain the package of graphics cards | Hand over the package of graphics cards to Mechanic,"+6,500 EXP | Mechanic Rep +0.02 | 20,000 Roubles 21,000 Roubles with Intelligence Center Level 1 23,000 Roubles with Intelligence Center Level 2 | 1× UHF RFID Reader",Farming - Part 2,Farming - Part 4 | Corporate Secrets | A Shooter Born in Heaven
Farming - Part 4,,Mechanic,,Must be level 14 to start this quest.,Find 3 Graphics cards in raid | Find 15 CPU fans in raid | Hand over 3 Graphics cards to Mechanic | Hand over 15 CPU fans to Mechanic,"+8,000 EXP | +3 Attention skill level | Mechanic Rep +0.02 | 1× Pistol case | 2× Physical Bitcoin | 4× Tetriz portable game console | 1× Glock 17 9x19 pistol (variant Viper)",Farming - Part 3,Fertilizers | Import | Energy Crisis
Signal - Part 1,Shoreline,Mechanic,,Must be level 12 to start this quest.,Locate the first signal source on Shoreline | Locate the second signal source on Shoreline | Survive and extract from the location,"+6,700 EXP | Mechanic Rep +0.02 | 10,000 Roubles 10,500 Roubles with Intelligence Center Level 1 11,500 Roubles with Intelligence Center Level 2 | 3× Glock 9x19 SGM Tactical 50-round drum magazine",Gunsmith - Part 2,Signal - Part 2 | Insider
Signal - Part 2,,Mechanic,,Must be level 12 to start this quest.,Find 3 PC CPUs in raid | Hand over 3 PC CPUs to Mechanic | Find 3 Rechargeable batteries in raid | Hand over 3 Rechargeable batteries to Mechanic | Find 3 Printed circuit boards in raid | Hand over 3 Printed circuit boards to Mechanic | Find 3 Broken GPhone smartphones in raid | Hand over 3 Broken GPhone smartphones to Mechanic,"+6,700 EXP | Mechanic Rep +0.02 | 50,000 Roubles 52,500 Roubles with Intelligence Center Level 1 57,500 Roubles with Intelligence Center Level 2",Signal - Part 1,Signal - Part 3 | Scout
Signal - Part 3,Shoreline,Mechanic,,Must be level 15 to start this quest.,Place the first Signal Jammer on the specified place on Shoreline | Place the second Signal Jammer on the specified place on Shoreline | Place the third Signal Jammer on the specified place on Shoreline | Survive and extract from the location,"+8,500 EXP | Mechanic Rep +0.02 | 30,000 Roubles 31,500 Roubles with Intelligence Center Level 1 34,500 Roubles with Intelligence Center Level 2 | 1× Benelli M3 Super 90 12ga dual-mode shotgun | 2× 12/70 8.5mm Magnum buckshot ammo pack (25 pcs)",Signal - Part 2,Signal - Part 4 | The Door
Signal - Part 4,,Mechanic,,Must be level 15 to start this quest.,Reach the required Attention skill level of 8,"+8,600 EXP | Mechanic Rep +0.01 | 150,000 Roubles 157,500 Roubles with Intelligence Center Level 1 172,500 Roubles with Intelligence Center Level 2 | 1× Vortex Razor HD Gen.2 1-6x24 30mm riflescope",Signal - Part 3,Steady Signal
Bad Habit,,Mechanic,,Must be level 12 to start this quest.,Find 5 Malboro cigarettes in raid | Find 5 Strike cigarettes in raid | Find 5 Wilston cigarettes in raid | Hand over 5 Malboro cigarettes to Mechanic | Hand over 5 Strike cigarettes to Mechanic | Hand over 5 Wilston cigarettes to Mechanic,"+6,700 EXP | Mechanic Rep +0.02 | 300 Euros 315 Euros with Intelligence Center Level 1 345 Euros with Intelligence Center Level 2 | 1× Glock 18C 9x19 machine pistol | 6× 9x19mm Green Tracer ammo pack (50 pcs) | Unlocks barter for Bottle of OLOLO Multivitamins at Therapist LL1",Farming - Part 2,
